City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Kem,RU,2021-10-10 19:59:27,64.9555,34.5793,52.3,93,100,11.81
141,Kodino,RU,2021-10-10 19:59:28,63.7198,39.6447,50.65,92,100,11.43
142,Cabo San Lucas,MX,2021-10-10 19:59:28,22.8909,-109.9124,95.61,67,82,1.99
143,Godfrey,US,2021-10-10 19:58:24,38.9556,-90.1868,88.65,44,0,8.99
144,Leningradskiy,RU,2021-10-10 19:59:28,69.3833,178.4167,19.51,90,100,4.47
145,Iqaluit,CA,2021-10-10 19:57:48,63.7506,-68.5145,40.73,70,20,4.0
146,Half Moon Bay,US,2021-10-10 19:59:29,37.4636,-122.4286,81.54,61,9,5.97
147,Ust-Tsilma,RU,2021-10-10 19:59:29,65.441,52.1498,33.19,98,100,6.64
148,Bluff,NZ,2021-10-10 19:59:30,-46.6,168.3333,48.79,91,100,7.52
149,Thompson,CA,2021-10-10 19:59:30,55.7435,-97.8558,48.36,87,75,6.91
150,Bathsheba,BB,2021-10-10 19:59:30,13.2167,-59.5167,83.01,78,40,19.57
151,Guerrero Negro,MX,2021-10-10 19:59:20,27.9769,-114.0611,79.88,44,0,10.2
152,Bambous Virieux,MU,2021-10-10 19:59:31,-20.3428,57.7575,71.85,100,75,13.8
153,Westport,US,2021-10-10 19:59:31,41.1415,-73.3579,67.08,92,100,1.01
154,Velikiy Ustyug,RU,2021-10-10 19:59:31,60.7644,46.3106,47.16,93,100,9.08
155,Reinosa,ES,2021-10-10 19:59:32,42.9996,-4.138,52.21,94,100,4.32
156,Khatanga,RU,2021-10-10 19:59:32,71.9667,102.5,16.77,96,100,4.85
157,Nizhniy Kuranakh,RU,2021-10-10 19:59:32,58.8353,125.4869,31.59,86,82,10.0
158,Hazorasp,UZ,2021-10-10 19:59:33,41.3194,61.0742,42.64,40,0,3.6
159,Ennigerloh,DE,2021-10-10 19:59:33,51.8333,8.0167,50.81,86,99,4.41
160,Duzce,TR,2021-10-10 19:59:33,40.8389,31.1639,61.27,92,97,1.74
161,Shahrud,IR,2021-10-10 19:59:34,36.4182,54.9763,49.42,50,0,3.89
162,Vanimo,PG,2021-10-10 19:59:34,-2.6741,141.3028,79.03,89,100,3.27
163,Liverpool,GB,2021-10-10 19:58:34,53.4106,-2.9779,56.98,81,75,1.01
164,Airai,TL,2021-10-10 19:59:34,-8.9266,125.4092,60.62,71,100,1.1
165,Ribeira Grande,PT,2021-10-10 19:59:35,38.5167,-28.7,72.0,94,40,14.97
166,Berlevag,NO,2021-10-10 19:59:35,70.8578,29.0864,42.6,87,20,12.66
167,San Policarpo,PH,2021-10-10 19:59:35,12.1791,125.5072,80.04,82,64,10.31
168,Kirakira,SB,2021-10-10 19:59:36,-10.4544,161.9205,78.62,84,90,3.4
169,Aguimes,ES,2021-10-10 19:59:36,27.9054,-15.4461,72.23,59,20,16.11
170,Jiuquan,CN,2021-10-10 19:59:36,39.7432,98.5174,39.78,23,0,2.53
171,Makakilo City,US,2021-10-10 19:59:37,21.3469,-158.0858,79.68,77,90,5.75
172,Omboue,GA,2021-10-10 19:59:37,-1.5746,9.2618,77.54,83,100,5.68
173,Los Llanos De Aridane,ES,2021-10-10 19:59:37,28.6585,-17.9182,69.55,86,20,16.11
174,Nemuro,JP,2021-10-10 19:59:38,43.3236,145.575,63.07,91,100,34.83
175,Ahipara,NZ,2021-10-10 19:59:38,-35.1667,173.1667,57.67,67,77,5.91
176,Kongwa,TZ,2021-10-10 19:59:38,-6.2,36.4167,69.55,61,92,6.64
177,Khuzhir,RU,2021-10-10 19:59:38,53.1939,107.3397,44.29,67,0,2.33
178,East London,ZA,2021-10-10 19:59:39,-33.0153,27.9116,60.58,68,5,17.09
179,Haines Junction,CA,2021-10-10 19:59:39,60.7522,-137.5108,33.75,80,29,2.3
180,Montepuez,MZ,2021-10-10 19:59:39,-13.1256,38.9997,72.43,71,35,9.78
181,Qaanaaq,GL,2021-10-10 19:59:40,77.484,-69.3632,29.62,90,100,8.3
182,Kingussie,GB,2021-10-10 19:59:40,57.08,-4.0523,49.26,81,100,12.48
183,Zhigansk,RU,2021-10-10 19:59:40,66.7697,123.3711,33.66,99,100,11.65
184,Inhambane,MZ,2021-10-10 19:59:41,-23.865,35.3833,69.13,62,14,17.36
185,Naze,JP,2021-10-10 19:59:41,28.3667,129.4833,76.89,87,63,16.11
186,Churapcha,RU,2021-10-10 19:59:41,62.0025,132.4325,31.96,97,100,9.82
